Ticker,CAPM
PNW,0.1945272003951972
ABT,0.16905278624350392
AMD,0.2251046773834118
APD,0.20317035261121702
ALK,0.28026160998630595
HON,0.2109065054117563
SWKS,0.2608389605412516
HES,0.2832170166627261
AEP,0.14541422195896894
AXP,0.2844658089723587
AFL,0.23894144144341004
AIG,0.2942132914464607
AME,0.2299002765412462
AMGN,0.1591818708952196
ADI,0.23368557066390194
APA,0.35959858470793693
AAPL,0.21964086811873662
AMAT,0.27895022481348863
ADM,0.18745802743784762
ADSK,0.2219273076535028
ADP,0.21718990348044548
AVY,0.2057613242447486
BK,0.2150934399928208
BAX,0.1467145414253689
BDX,0.11460748756921617
VZ,0.10778717091261132
BRK.B,nan
BBY,0.22182616177936182
BIO,0.14356465293080065
BA,0.33045111245379244
RHI,0.19200457690658024
BMY,0.12440937165865472
BF.B,nan
CI,0.2367744273136632
CSX,0.22519126966421021
CPB,0.08145268648448317
STZ,0.18598996368889076
CAH,0.18640032081619098
CAT,0.1942106414611209
LUMN,0.20662723144329606
JPM,0.24919279106813205
CVX,0.26378851456880265
CHD,0.10736878137403258
CTAS,0.23551947720551417
CLX,0.06283989658250849
KO,0.15999585432002883
CL,0.13583119919073744
AON,0.15596299869674646
CMCSA,0.17718959612790167
CMA,0.28169400340299566
C,0.3018823108921003
DXC,0.3686632144363379
CAG,0.08576088375413707
ED,0.14000675194236098
CMS,0.1579488665442836
COO,0.17250863891798018
TAP,0.17398493138364768
GLW,0.2493925802888214
CMI,0.18189049879052757
DHR,0.15106148904362843
TGT,0.13465011468051216
DE,0.20783856163368425
DAL,0.2563436698719527
DTE,0.21617673445957672
DIS,0.20507105407047233
DG,0.10215209551285588
D,0.18291419026565492
DOV,0.22549949223750015
DD,0.22715094485667256
OMC,0.19672092622034265
DUK,0.18201971122386687
PKI,0.1457832985926121
ETN,0.24068668030690818
ECL,0.22004589071305222
EMR,0.23075340803954916
ATO,0.16963142784740454
EFX,0.1714276681793384
EXPD,0.14127908241792675
XOM,0.21430271333264117
FMC,0.2294935749863097
NEE,0.1816980420349843
FDX,0.21162744091458854
FRT,0.23252247015614305
FITB,0.31499111452498807
RF,0.28999489690258906
MTB,0.24643048049836994
USB,0.2521795329991804
F,0.21573224206659952
BEN,0.2129845718694241
AJG,0.18260788248796148
GPS,0.2981002630337106
GD,0.1812779314081882
GE,0.24099018747433612
GIS,0.09111498902980843
GPC,0.2211438825417675
GWW,0.19843148504560715
HAL,0.3562240076608802
LHX,0.17748185101113034
HAS,0.20672222250908806
WELL,0.2709546250604117
HSY,0.15708228598755195
HPQ,0.22221685023101365
HD,0.2132930835250827
HRL,0.09332630378956433
CNP,0.2459155566626945
JBHT,0.16849251194071965
HBAN,0.24738070910590745
ITW,0.20450885196174676
TT,0.18251536468427815
INTC,0.22606379540467986
IBM,0.19406272216075024
IFF,0.17876572699359555
IP,0.22684627169370175
IPG,0.24674643857885342
J,0.1837144047371954
JNJ,0.13583875956340685
JCI,0.1840051912085417
KLAC,0.27906777946118233
KSU,nan
EVRG,0.21089129352404296
K,0.09698972991828603
KMB,0.11711396613218453
KR,0.053352171004427636
LRCX,0.2915304544317802
LEG,0.278710511327491
LEN,0.24640882241855086
LLY,0.14647468391284116
BBWI,0.2834917566174928
LNC,0.4250270442466686
LMT,0.17189036446764266
L,0.26499477883084765
LOW,0.23049560034244684
MRO,0.2841092323994126
HST,0.23286771478213508
MMC,0.16873599727376196
MAS,0.18606688382574016
MKC,0.14813972297869724
MCD,0.18444184811451556
SPGI,0.21831011789736862
MCK,0.1916586795486985
MDT,0.18951090274134796
CVS,0.16226051821134105
MRK,0.13920784618660173
MU,0.25077809692328934
ETR,0.20729422778777992
MMM,0.1619967206067109
MSI,0.1883746410888625
VTRS,0.1459271725152049
BAC,0.27074585285731995
NWL,0.22642597217689353
NEM,0.08827994492387069
NKE,0.18519931046088128
NSC,0.23062876999332774
ES,0.17965142145319005
NI,0.19040134762437352
XEL,0.16811261355725893
NTRS,0.23331855436548324
NOC,0.1565455148234759
WFC,0.2653428635196769
NUE,0.22090721737745894
OXY,0.35091082714586064
FE,0.19918216430354768
OKE,0.30927898245579744
PNC,0.26189755972695167
PPG,0.1882828022013117
PCAR,0.1675207582351993
SRE,0.20002198226398435
PH,0.27869186511199473
PAYX,0.23353107579692128
PPL,0.20307356115002198
PNR,0.21658966477757874
PEP,0.17499647225626136
PFE,0.13743321474596057
EXC,0.23332038960182
MO,0.14628694492164215
COP,0.2835231756809143
PVH,0.3293384771903466
PG,0.1416523497816002
PEG,0.17127060322106677
PHM,0.25277681093925436
RJF,0.2551583267150321
ROK,0.2162150470794028
ROL,0.13871660883199197
ROST,0.22260127051617598
SLB,0.2889311857589599
SEE,0.1670569788558663
SHW,0.1900165614193138
AOS,0.13870082225433908
SJM,0.08891289723267665
SNA,0.21006867846313326
KEY,0.3150609405881038
EIX,0.19393241398593253
SO,0.19595084006867117
LUV,0.21367925809299967
T,0.16488993626458767
SWK,0.28377536484803456
STT,0.2600884812456334
PSA,0.13992821297697491
SYK,0.2201680755487512
SYY,0.2609547238375121
TFX,0.18922336188149597
TER,0.2401317067220994
TXN,0.21280618712131516
TXT,0.27461214505029863
TMO,0.1462848192582606
GL,0.2511732852415241
TYL,0.1314173671199708
TSN,0.1553128220773075
UAL,0.304397392569896
AEE,0.18060916004432673
UNP,0.19856077155148508
UDR,0.20372685756013195
UNH,0.22166673760106836
UPS,0.15625592367068147
RTX,0.23703988549971947
UHS,0.25816425316791747
VFC,0.2406543912191932
VNO,0.2520377318793692
